Baq_Solar,Bog_Solar,Cali_Solar,Ctg_Solar,Med_Solar,StM_Solar,Baq_Wind,Bog_Wind,Cali_Wind,Ctg_Wind,Med_Wind,StM_Wind
108.3396,114.63405,106.4301,108.33585,120.07545,110.98995,80.61165,54.2454,56.9733,25.6743,4.83555,114.3696
94.5384,100.20915,94.2615,94.6992,106.97805,96.58305,92.7753,49.161,51.48255,27.81585,2.9442,119.69415
72.8676,79.21725,68.27775,73.30665,86.7261,74.21265,104.21055,44.30565,44.07105,39.5574,1.1832,124.1856
41.9109,48.38115,41.98005,42.9024,57.8145,42.35175,108.3213,38.45865,39.3387,68.71095,0.2142,125.8359
5.4759,12.3372,10.0359,6.9792,19.77045,4.6224,109.542,25.02255,27.74745,97.31895,0.3429,127.28595
0,0,0,0,0,0,113.7867,16.8711,15.5553,111.5805,0.24855,131.31315
0,0,0,0,0,0,117.2859,14.91645,10.77045,113.655,0.0891,134.6229
0,0,0,0,0,0,116.6772,13.41585,8.50695,107.24325,0.04545,133.6284
0,0,0,0,0,0,110.53665,10.3086,7.49595,93.4794,0.0459,131.2863
0,0,0,0,0,0,96.22125,7.58925,8.6556,73.7472,0.2859,125.77365
0,0,0,0,0,0,85.326,7.02135,9.7875,60.07245,1.19325,119.0751
0,0,0,0,0,0,79.69245,6.18675,9.40125,50.51595,2.2224,115.7943
0,0,0,0,0,0,75.46215,6.9198,8.9973,40.40205,2.94765,114.8232
0,0,0,0,0,0,73.66455,7.59195,8.6691,34.1094,3.1455,116.5737
0,0,0,0,0,0,74.4237,9.0555,8.0466,29.0388,3.42555,117.156
0,0,0,0,0,0,71.80485,8.75775,8.748,25.77765,2.46,116.9184
0,0,0,0,0,0,67.4028,8.1651,8.6889,23.20905,1.3836,115.27185
6.345,11.079,6.01635,5.28315,12.90645,6.9087,61.848,6.9198,7.5591,20.316,1.089,110.9583
45.5856,37.56015,34.3668,43.8708,55.66125,45.3426,40.6632,11.9352,8.22705,12.36195,0.68895,102.65115
75.66105,64.17525,60.51765,74.0859,85.4355,77.29065,26.3637,24.3012,15.5733,13.6662,2.87775,94.1658
96.2313,86.5002,79.86555,95.1039,106.3287,98.72235,22.8189,32.74005,22.3008,13.0581,4.6542,84.4845
109.03095,104.78925,91.10925,108.381,119.17755,111.98235,21.23805,37.1622,27.9957,11.9208,5.9766,73.66485
114.8226,105.62145,93.6288,114.4998,125.601,117.70545,20.7582,36.4473,34.55625,7.06275,7.26885,68.382
114.3645,105.76875,90.4707,114.17235,124.18395,116.9271,26.4936,32.97135,37.8396,4.77255,6.84105,68.9217
